filename	sha256	size_bytes	source
sketch1.msh	340f3a3ded697f08f8ad89501323e8422233f2c83bfe5f3277324fe6f1ad1efc	1050412616	https://zenodo.org/records/17428354/files/sketch1.msh?download=1
sketch2.msh	6185beb92ea7ff769cb975b756ad9081cb1dc6ab7ae1d30652ed0b6bb341f68e	925283792	https://zenodo.org/records/17428354/files/sketch2.msh?download=1
sketch3.msh	23b37c6cd9955fdab0e7b4544e0e0caa53d2a3d74adc45742b5ca1ccb1dc777e	332981848	https://zenodo.org/records/17428354/files/sketch3.msh?download=1

# Source: Zenodo record 10.5281/zenodo.17428354 (HYMET Sketch Databases v1)
