sample	tool	stage	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb
cami_ii_marine	ganon2	eval	11.940	12.830	1.610	0.925	0.000	0.000
cami_ii_marine	sourmash_gather	run	3.840	8.310	1.090	0.768	0.000	0.000
cami_ii_marine	sourmash_gather	eval	10.530	9.570	0.960	0.925	0.000	0.000
cami_ii_marine	metaphlan4	run	137.930	166.020	59.960	18.756	30.026	0.001
cami_ii_marine	metaphlan4	eval	10.640	9.660	0.980	0.925	0.000	0.000
cami_ii_strainmadness	hymet	run	130.220	70.150	13.840	2.281	2.955	3.702
cami_ii_strainmadness	hymet	eval	17.930	20.370	2.410	1.117	0.002	0.000
cami_ii_strainmadness	kraken2	run	41.120	1.120	20.070	10.832	19.879	0.004
cami_ii_strainmadness	kraken2	eval	12.520	13.220	1.620	0.926	0.000	0.000
cami_ii_strainmadness	centrifuge	run	0.450	0.750	0.220	0.045	0.074	0.002
cami_ii_strainmadness	centrifuge	eval	14.310	16.610	2.290	0.925	0.000	0.000
cami_ii_strainmadness	ganon2	run	0.930	2.560	0.290	0.072	0.081	0.000
cami_ii_strainmadness	ganon2	eval	12.220	12.600	1.640	0.926	0.000	0.000
cami_ii_strainmadness	sourmash_gather	run	3.660	7.950	1.130	0.793	0.000	0.000
cami_ii_strainmadness	sourmash_gather	eval	10.700	9.720	0.970	0.925	0.000	0.000
cami_ii_strainmadness	metaphlan4	run	138.680	161.390	65.640	18.754	30.024	0.000
cami_ii_strainmadness	metaphlan4	eval	10.420	9.430	0.990	0.925	0.000	0.000
