sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_i_lc	metaphlan4	superkingdom	150.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_i_lc	metaphlan4	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_lc	metaphlan4	class	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_lc	metaphlan4	order	50.0001	100.0000	0.00	0.00	0.00	0	0	3
cami_i_lc	metaphlan4	family	50.0001	100.0000	0.00	0.00	0.00	0	0	5
cami_i_lc	metaphlan4	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	8
cami_i_lc	metaphlan4	species	50.0000	100.0000	0.00	0.00	0.00	0	0	8
cami_i_lc	sourmash_gather	superkingdom	27.0884	27.0884	100.00	50.00	66.67	1	0	1
cami_i_lc	sourmash_gather	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_lc	sourmash_gather	class	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_lc	sourmash_gather	order	50.0001	100.0000	0.00	0.00	0.00	0	0	3
cami_i_lc	sourmash_gather	family	50.0001	100.0000	0.00	0.00	0.00	0	0	5
cami_i_lc	sourmash_gather	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	8
cami_i_lc	sourmash_gather	species	100.0001	100.0000	0.00	0.00	0.00	0	1	8
cami_i_mc	centrifuge	superkingdom	100.0000	100.0000	0.00	0.00	0.00	0	1	3
cami_i_mc	centrifuge	phylum	87.1856	87.1856	50.00	66.67	57.14	2	2	1
cami_i_mc	centrifuge	class	87.1856	87.1856	50.00	50.00	50.00	2	2	2
cami_i_mc	centrifuge	order	90.7792	90.7791	50.00	33.33	40.00	2	2	4
cami_i_mc	centrifuge	family	91.9972	91.9972	25.00	16.67	20.00	1	3	5
cami_i_mc	centrifuge	genus	91.9971	91.9972	25.00	12.50	16.67	1	3	7
cami_i_mc	centrifuge	species	91.9972	91.9972	25.00	8.33	12.50	1	3	11
cami_i_mc	ganon2	superkingdom	49.4109	97.6055	100.00	66.67	80.00	2	0	1
cami_i_mc	ganon2	phylum	49.4762	97.7345	100.00	66.67	80.00	2	0	1
cami_i_mc	ganon2	class	49.4763	97.7345	100.00	50.00	66.67	2	0	2
cami_i_mc	ganon2	order	49.4763	97.7345	100.00	33.33	50.00	2	0	4
cami_i_mc	ganon2	family	49.8113	98.3962	50.00	16.67	25.00	1	1	5
cami_i_mc	ganon2	genus	49.8112	98.3962	50.00	12.50	20.00	1	1	7
cami_i_mc	ganon2	species	49.8140	98.3963	50.00	8.33	14.29	1	1	11
cami_i_mc	hymet	superkingdom	63.2147	42.1431	15.38	66.67	25.00	2	11	1
cami_i_mc	hymet	phylum	100.0000	100.0000	0.00	0.00	0.00	0	11	3
cami_i_mc	hymet	class	100.0001	100.0000	0.00	0.00	0.00	0	11	4
cami_i_mc	hymet	order	100.0000	100.0000	0.00	0.00	0.00	0	11	6
cami_i_mc	hymet	family	100.0000	100.0000	0.00	0.00	0.00	0	11	6
cami_i_mc	hymet	genus	100.0000	100.0000	0.00	0.00	0.00	0	11	8
cami_i_mc	hymet	species	94.0695	94.0695	18.18	16.67	17.39	2	9	10
cami_i_mc	kraken2	superkingdom	44.1353	77.1070	50.00	66.67	57.14	2	2	1
cami_i_mc	kraken2	phylum	43.4674	76.8386	100.00	66.67	80.00	2	0	1
cami_i_mc	kraken2	class	43.4599	76.8393	100.00	75.00	85.71	3	0	1
cami_i_mc	kraken2	order	43.4578	76.8403	100.00	66.67	80.00	4	0	2
cami_i_mc	kraken2	family	45.7178	80.8421	75.00	50.00	60.00	3	1	3
cami_i_mc	kraken2	genus	45.7480	80.8858	83.33	62.50	71.43	5	1	3
cami_i_mc	kraken2	species	52.4541	87.4482	40.00	33.33	36.36	4	6	8
cami_i_mc	metaphlan4	superkingdom	150.0000	100.0000	0.00	0.00	0.00	0	1	3
